cap-shape,cap-color,bruises,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,ring-number,spore-print-color,population,habitat,class
s,g,f,e,w,w,o,n,v,u,e
b,y,t,e,w,w,o,n,s,m,e
b,y,t,e,w,w,o,n,s,m,e
b,y,t,e,w,w,o,n,n,m,e
b,w,t,e,w,w,o,n,s,g,e
f,n,f,t,w,w,o,k,a,g,e
x,w,t,e,w,w,o,k,s,g,e
f,y,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,n,g,e
x,g,f,e,w,w,o,n,v,u,e
f,y,t,t,w,w,o,n,v,d,e
b,w,t,e,w,w,o,n,s,m,e
f,y,t,t,w,w,o,n,v,d,e
x,n,t,e,w,w,o,k,s,p,e
b,y,t,e,w,w,o,k,s,g,e
f,y,t,t,w,w,o,n,v,d,e
x,w,t,t,w,w,o,u,v,d,e
f,n,t,e,w,w,o,n,y,p,e
x,n,t,e,w,w,o,n,v,u,p
f,n,t,e,w,w,o,n,y,g,e
x,n,f,t,w,w,o,n,s,g,e
x,w,t,e,w,w,o,k,s,g,p
f,g,f,e,w,w,o,n,y,u,e
x,g,f,t,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,s,g,e
x,n,f,t,w,w,o,k,s,g,e
b,w,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,s,g,e
f,n,t,e,w,w,o,k,y,g,e
s,n,f,e,w,w,o,n,v,u,e
x,n,f,e,w,w,o,n,y,u,e
b,w,t,e,w,w,o,k,s,g,e
x,y,t,e,w,w,o,k,s,g,e
x,y,t,e,w,w,o,k,n,m,e
x,n,f,t,w,w,o,n,a,g,e
x,w,t,e,w,w,o,n,s,g,e
f,n,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,n,g,e
b,w,t,e,w,w,o,n,s,g,e
x,w,t,e,w,w,o,k,s,g,e
x,n,f,t,w,w,o,k,s,g,e
b,y,t,e,w,w,o,k,n,g,e
f,y,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,y,p,e
b,w,t,e,w,w,o,n,n,g,e
x,y,t,e,w,w,o,k,n,m,e
x,y,t,e,w,w,o,n,y,g,e
b,w,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,n,s,m,e
x,y,t,e,w,w,o,k,n,m,e
x,y,t,e,w,w,o,k,n,g,e
s,g,f,e,w,w,o,k,y,u,e
x,w,t,t,w,w,o,u,v,d,e
x,y,t,e,w,w,o,k,n,m,e
x,w,t,e,w,w,o,n,v,u,p
x,y,t,e,w,w,o,n,s,g,e
s,g,f,e,w,w,o,n,y,u,e
x,y,t,e,w,w,o,k,y,g,e
x,y,t,t,w,w,o,u,v,d,e
s,n,f,e,w,w,o,n,y,u,e
x,w,t,e,w,w,o,k,v,g,p
x,w,t,e,w,w,o,n,n,m,e
f,n,t,e,w,w,o,k,v,g,p
f,g,f,t,w,w,o,n,a,g,e
x,y,t,e,w,w,o,n,s,m,e
x,w,f,t,w,w,o,k,s,g,e
b,y,t,e,w,w,o,n,n,g,e
f,g,f,t,w,w,o,n,a,g,e
x,w,t,e,w,w,o,k,n,g,e
b,w,t,e,w,w,o,n,s,m,e
b,w,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,n,s,m,e
f,w,t,t,w,w,o,u,v,d,e
x,y,t,e,w,w,o,k,s,m,e
f,w,t,t,w,w,o,n,v,d,e
x,w,t,e,w,w,o,n,v,u,p
f,w,t,t,w,w,o,n,v,d,e
x,y,t,e,w,w,o,n,s,g,e
x,n,t,e,w,w,o,n,v,g,p
b,y,t,e,w,w,o,n,n,g,e
x,n,t,e,w,w,o,k,y,p,e
b,y,t,e,w,w,o,k,n,m,e
s,n,f,e,w,w,o,n,v,u,e
f,n,t,e,w,w,o,k,y,p,e
x,y,t,e,w,w,o,k,n,g,e
x,g,f,t,w,w,o,k,s,g,e
f,w,f,t,w,w,o,n,a,g,e
x,y,t,e,w,w,o,n,n,m,e
b,y,t,e,w,w,o,k,n,g,e
b,w,t,e,w,w,o,k,n,m,e
x,w,t,e,w,w,o,n,s,g,e
x,n,f,t,w,w,o,n,a,g,e
x,w,t,e,w,w,o,n,s,g,e
s,n,f,e,w,w,o,k,v,u,e
x,w,t,t,w,w,o,u,v,d,e
x,n,t,e,w,w,o,k,s,g,e
b,y,t,e,w,w,o,n,n,g,e
x,w,t,e,w,w,o,n,n,g,e
b,w,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,k,s,g,e
b,y,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,k,n,g,e
x,n,f,e,w,w,o,n,y,u,e
f,n,t,e,w,w,o,n,y,g,e
x,w,t,e,w,w,o,n,s,g,e
f,y,t,e,w,w,o,n,y,p,e
b,w,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,k,s,m,e
x,n,t,e,w,w,o,k,y,g,e
b,w,t,e,w,w,o,k,s,g,e
x,g,f,e,w,w,o,n,y,u,e
b,y,t,e,w,w,o,n,s,g,e
x,y,t,t,w,w,o,u,v,d,e
b,y,t,e,w,w,o,k,s,g,e
f,y,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,k,n,m,e
b,w,t,e,w,w,o,k,n,m,e
b,y,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,n,n,m,e
b,y,t,e,w,w,o,n,n,g,e
x,w,t,e,w,w,o,n,v,u,p
s,n,f,e,w,w,o,n,y,u,e
f,n,f,e,w,w,o,k,v,u,e
x,y,t,e,w,w,o,n,s,m,e
f,n,t,e,w,w,o,k,s,p,e
x,w,t,e,w,w,o,k,s,g,p
b,w,t,e,w,w,o,n,s,m,e
f,g,f,e,w,w,o,k,v,u,e
b,y,t,e,w,w,o,n,n,g,e
x,n,t,e,w,w,o,n,y,p,e
x,w,f,t,w,w,o,k,s,g,e
x,w,t,t,w,w,o,n,v,d,e
b,w,t,e,w,w,o,n,s,m,e
f,y,t,t,w,w,o,n,v,d,e
x,y,t,e,w,w,o,n,n,m,e
f,g,f,e,w,w,o,n,y,u,e
b,y,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,n,m,e
x,w,t,e,w,w,o,n,s,m,e
f,w,t,t,w,w,o,n,v,d,e
x,y,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,k,n,g,e
x,w,f,t,w,w,o,k,s,g,e
f,n,t,e,w,w,o,k,y,p,e
x,w,t,e,w,w,o,n,v,u,p
b,w,t,e,w,w,o,n,n,g,e
b,w,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,n,n,g,e
b,w,t,e,w,w,o,k,n,g,e
x,y,t,e,w,w,o,k,s,g,e
b,w,t,e,w,w,o,k,n,m,e
x,y,t,t,w,w,o,n,v,d,e
x,g,f,e,w,w,o,n,y,u,e
f,y,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,k,n,m,e
x,y,t,e,w,w,o,k,s,g,e
x,y,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,s,g,e
s,g,f,e,w,w,o,n,v,u,e
x,w,t,e,w,w,o,n,n,m,e
x,w,t,e,w,w,o,k,s,g,p
x,y,t,e,w,w,o,n,s,g,e
f,w,t,t,w,w,o,n,v,d,e
x,w,t,e,w,w,o,k,n,m,e
b,w,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,n,g,e
x,y,t,e,w,w,o,n,s,g,e
x,n,t,e,w,w,o,k,v,u,p
b,y,t,e,w,w,o,n,n,g,e
x,g,f,e,w,w,o,k,y,u,e
x,w,t,e,w,w,o,k,s,u,p
x,y,t,e,w,w,o,n,y,p,e
f,n,f,e,w,w,o,k,v,u,e
b,w,t,e,w,w,o,n,n,g,e
x,w,t,t,w,w,o,n,v,d,e
x,w,t,e,w,w,o,k,s,g,e
b,y,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,s,g,e
f,y,t,e,w,w,o,k,s,p,e
f,y,t,e,w,w,o,k,y,p,e
x,w,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,n,m,e
x,w,t,e,w,w,o,k,v,u,p
f,w,t,t,w,w,o,u,v,d,e
x,w,t,e,w,w,o,n,s,g,e
x,w,t,t,w,w,o,u,v,d,e
x,w,t,e,w,w,o,k,s,m,e
f,y,t,e,w,w,o,k,y,p,e
x,n,f,t,w,w,o,k,s,g,e
f,y,t,e,w,w,o,n,y,g,e
x,n,t,e,w,w,o,n,s,g,p
s,n,f,e,w,w,o,n,v,u,e
b,y,t,e,w,w,o,n,s,m,e
b,w,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,n,n,m,e
f,n,f,e,w,w,o,n,v,u,e
x,w,t,e,w,w,o,k,n,m,e
b,w,t,e,w,w,o,k,n,g,e
b,w,t,e,w,w,o,n,n,m,e
f,n,t,e,w,w,o,n,s,g,e
x,w,t,e,w,w,o,k,v,g,p
x,w,t,e,w,w,o,n,n,g,e
x,w,t,e,w,w,o,n,s,m,e
f,w,t,t,w,w,o,u,v,d,e
f,g,f,e,w,w,o,k,v,u,e
f,g,f,t,w,w,o,k,a,g,e
x,y,t,e,w,w,o,n,s,m,e
b,w,t,e,w,w,o,n,s,m,e
f,n,t,e,w,w,o,k,s,u,p
x,w,t,e,w,w,o,k,n,m,e
f,n,t,e,w,w,o,k,v,u,p
x,w,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,n,n,m,e
f,y,t,e,w,w,o,n,s,p,e
x,n,t,e,w,w,o,n,s,p,e
f,n,t,e,w,w,o,n,y,g,e
x,w,t,e,w,w,o,n,n,m,e
f,n,f,t,w,w,o,k,s,g,e
x,y,t,e,w,w,o,n,n,m,e
x,w,t,e,w,w,o,n,s,g,p
b,y,t,e,w,w,o,n,n,m,e
s,n,f,e,w,w,o,n,v,u,e
x,y,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,k,n,m,e
f,n,t,e,w,w,o,k,s,g,e
b,y,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,k,s,g,e
x,n,t,e,w,w,o,n,y,p,e
f,g,f,e,w,w,o,n,y,u,e
x,g,f,e,w,w,o,k,y,u,e
b,y,t,e,w,w,o,k,s,g,e
x,y,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,n,s,g,e
x,w,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,n,n,m,e
x,y,t,e,w,w,o,k,s,m,e
x,g,f,t,w,w,o,k,s,g,e
f,y,t,t,w,w,o,n,v,d,e
x,w,t,e,w,w,o,k,s,g,p
x,w,f,t,w,w,o,k,a,g,e
b,w,t,e,w,w,o,k,s,g,e
x,y,t,t,w,w,o,n,v,d,e
b,w,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,k,s,g,e
x,n,t,t,g,p,o,n,y,d,e
b,w,t,e,w,w,o,n,s,m,e
x,y,t,e,w,w,o,n,n,m,e
f,n,t,e,w,w,o,k,y,g,e
x,w,f,t,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,v,g,p
x,y,t,e,w,w,o,k,s,g,e
x,w,t,t,w,w,o,n,v,d,e
b,y,t,e,w,w,o,n,n,g,e
x,w,t,e,w,w,o,k,v,u,p
x,y,t,t,w,w,o,n,v,d,e
x,w,t,e,w,w,o,k,n,m,e
x,w,t,t,w,w,o,n,v,d,e
f,w,t,t,w,w,o,n,v,d,e
x,y,t,e,w,w,o,n,s,m,e
f,y,t,t,w,w,o,u,v,d,e
x,w,t,e,w,w,o,k,s,g,e
b,y,t,e,w,w,o,k,s,m,e
x,n,t,e,w,w,o,n,s,p,e
b,w,t,e,w,w,o,k,n,g,e
x,y,t,e,w,w,o,n,s,m,e
x,n,t,e,w,w,o,n,v,u,p
b,y,t,e,w,w,o,k,n,g,e
b,w,t,e,w,w,o,k,n,g,e
x,n,t,e,w,w,o,k,v,u,p
b,w,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,n,n,m,e
b,y,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,n,g,e
x,n,t,t,p,w,o,k,y,d,e
x,n,t,e,w,w,o,k,y,g,e
b,y,t,e,w,w,o,n,s,g,e
x,g,f,e,w,w,o,n,v,u,e
x,n,t,e,w,w,o,k,y,g,e
x,w,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,k,n,g,e
x,y,t,e,w,w,o,k,s,m,e
f,y,t,t,w,w,o,n,v,d,e
b,y,t,e,w,w,o,n,s,g,e
x,n,f,t,w,w,o,n,a,g,e
x,y,t,t,w,w,o,n,v,d,e
x,y,t,e,w,w,o,n,n,m,e
f,g,f,t,w,w,o,k,s,g,e
x,n,f,e,w,w,o,n,y,u,e
f,g,f,t,w,w,o,n,a,g,e
f,n,t,e,w,w,o,n,s,p,e
b,w,t,e,w,w,o,n,s,g,e
b,y,t,e,w,w,o,k,s,m,e
x,y,t,e,w,w,o,k,s,p,e
s,g,f,e,w,w,o,n,v,u,e
f,n,t,e,w,w,o,n,y,p,e
x,n,t,e,w,w,o,k,s,u,p
x,y,t,e,w,w,o,n,y,p,e
x,y,t,e,w,w,o,n,s,g,e
x,n,f,t,w,w,o,n,s,g,e
x,n,f,t,w,w,o,k,a,g,e
f,n,f,t,w,w,o,k,a,g,e
f,n,t,e,w,w,o,n,s,p,e
x,y,t,e,w,w,o,k,n,g,e
f,n,f,e,w,w,o,k,v,u,e
x,y,t,e,w,w,o,n,s,p,e
x,y,t,t,w,w,o,u,v,d,e
b,y,t,e,w,w,o,n,n,g,e
x,g,f,t,w,w,o,k,s,g,e
x,y,t,e,w,w,o,n,s,g,e
f,n,t,e,w,w,o,k,y,g,e
x,y,t,e,w,w,o,k,s,m,e
s,n,f,e,w,w,o,n,y,u,e
x,w,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,k,n,g,e
s,n,f,e,w,w,o,k,y,u,e
b,y,t,e,w,w,o,n,n,m,e
x,y,t,e,w,w,o,n,n,g,e
b,y,t,e,w,w,o,n,s,g,e
x,n,t,e,w,w,o,k,s,u,p
x,w,f,t,w,w,o,n,s,g,e
x,w,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,n,n,g,e
x,n,t,t,g,w,o,n,y,d,e
x,n,t,e,w,w,o,n,s,u,p
x,n,t,e,w,w,o,k,y,p,e
x,n,f,t,w,w,o,k,a,g,e
b,y,t,e,w,w,o,k,n,m,e
x,y,t,e,w,w,o,n,n,m,e
b,y,t,e,w,w,o,n,s,m,e
x,y,t,e,w,w,o,k,n,m,e
b,w,t,e,w,w,o,n,n,g,e
x,g,f,e,w,w,o,n,v,u,e
f,n,t,e,w,w,o,k,s,g,e
x,g,f,t,w,w,o,n,a,g,e
x,w,t,e,w,w,o,n,n,m,e
x,y,t,e,w,w,o,n,s,m,e
x,g,f,e,w,w,o,k,v,u,e
x,n,t,e,w,w,o,n,s,u,p
b,w,t,e,w,w,o,n,n,g,e
b,w,t,e,w,w,o,k,n,m,e
x,n,t,e,w,w,o,n,v,u,p
b,y,t,e,w,w,o,n,s,m,e
x,w,t,e,w,w,o,n,s,m,e
x,y,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,n,n,g,e
x,w,t,e,w,w,o,n,s,m,e
x,w,t,e,w,w,o,k,s,g,e
x,n,t,e,w,w,o,n,y,p,e
x,w,t,e,w,w,o,n,s,m,e
x,n,f,t,w,w,o,k,s,g,e
x,n,t,e,w,w,o,n,s,p,e
x,y,t,e,w,w,o,k,y,g,e
x,n,t,e,w,w,o,k,v,g,p
b,y,t,e,w,w,o,n,n,g,e
x,w,t,t,w,w,o,u,v,d,e
x,n,t,e,w,w,o,k,s,u,p
x,y,t,e,w,w,o,k,n,g,e
f,g,f,t,w,w,o,n,a,g,e
x,w,t,e,w,w,o,k,s,g,e
b,w,t,e,w,w,o,n,s,m,e
x,n,t,e,w,w,o,n,s,u,p
f,n,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,n,m,e
x,w,t,t,w,w,o,n,v,d,e
f,n,t,e,w,w,o,n,y,p,e
b,w,t,e,w,w,o,n,n,m,e
x,w,f,t,w,w,o,k,a,g,e
f,g,f,e,w,w,o,n,v,u,e
x,w,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,n,y,g,e
b,y,t,e,w,w,o,n,s,g,e
b,y,t,e,w,w,o,k,s,g,e
f,w,t,t,w,w,o,n,v,d,e
b,w,t,e,w,w,o,k,n,m,e
x,y,t,t,w,w,o,u,v,d,e
x,w,t,e,w,w,o,n,n,m,e
b,y,t,e,w,w,o,n,n,m,e
x,n,t,e,w,w,o,n,y,p,e
x,w,t,e,w,w,o,k,s,m,e
x,w,t,e,w,w,o,k,s,m,e
x,y,t,e,w,w,o,k,y,p,e
x,w,t,e,w,w,o,k,n,m,e
x,y,t,e,w,w,o,k,n,m,e
x,n,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,n,g,e
f,n,t,e,w,w,o,k,s,g,e
b,w,t,e,w,w,o,k,s,m,e
x,n,t,t,g,p,o,n,y,d,e
x,w,t,e,w,w,o,n,s,m,e
b,w,t,e,w,w,o,k,n,g,e
b,y,t,e,w,w,o,k,n,m,e
x,y,t,t,w,w,o,n,v,d,e
b,w,t,e,w,w,o,n,n,m,e
x,g,f,t,w,w,o,k,a,g,e
b,w,t,e,w,w,o,n,n,g,e
b,y,t,e,w,w,o,k,s,m,e
f,y,t,e,w,w,o,k,y,p,e
f,n,t,e,w,w,o,n,y,p,e
x,w,t,e,w,w,o,n,s,m,e
f,y,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,k,s,g,e
x,y,t,e,w,w,o,n,n,m,e
x,n,f,e,w,w,o,k,v,u,e
f,n,t,e,w,w,o,n,y,g,e
x,w,t,e,w,w,o,k,n,m,e
x,y,t,e,w,w,o,k,n,g,e
b,y,t,e,w,w,o,k,n,g,e
f,y,t,e,w,w,o,n,s,p,e
x,y,t,e,w,w,o,k,n,g,e
x,w,t,e,w,w,o,k,n,m,e
f,w,t,t,w,w,o,u,v,d,e
s,g,f,e,w,w,o,k,y,u,e
f,y,t,t,w,w,o,n,v,d,e
f,g,f,e,w,w,o,k,y,u,e
x,n,f,e,w,w,o,n,y,u,e
b,w,t,e,w,w,o,n,n,g,e
x,w,t,t,w,w,o,n,v,d,e
b,y,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,k,s,g,e
f,w,t,t,w,w,o,u,v,d,e
f,g,f,e,w,w,o,k,y,u,e
f,w,t,t,w,w,o,n,v,d,e
f,y,t,e,w,w,o,k,y,g,e
x,w,t,e,w,w,o,n,s,m,e
s,n,f,e,w,w,o,n,y,u,e
x,n,t,e,w,w,o,k,s,p,e
x,n,t,e,w,w,o,k,s,p,e
f,y,t,t,w,w,o,u,v,d,e
f,n,t,e,w,w,o,n,s,g,p
x,n,t,e,w,w,o,n,v,u,p
f,n,t,e,w,w,o,n,s,p,e
x,y,t,e,w,w,o,k,s,g,e
b,y,t,e,w,w,o,n,n,m,e
f,w,f,t,w,w,o,n,a,g,e
f,n,t,e,w,w,o,n,s,g,e
x,w,t,e,w,w,o,n,s,g,e
b,y,t,e,w,w,o,k,n,m,e
x,y,t,e,w,w,o,n,n,g,e
b,y,t,e,w,w,o,k,n,g,e
x,w,t,e,w,w,o,k,n,m,e
b,y,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,n,s,g,e
x,n,t,e,w,w,o,n,v,g,p
x,g,f,t,w,w,o,n,s,g,e
f,n,f,t,w,w,o,n,a,g,e
x,w,t,t,w,w,o,n,v,d,e
f,g,f,e,w,w,o,n,v,u,e
f,n,f,e,w,w,o,n,y,u,e
b,y,t,e,w,w,o,k,s,g,e
x,w,t,t,w,w,o,u,v,d,e
s,g,f,e,w,w,o,n,v,u,e
x,n,f,e,w,w,o,n,v,u,e
x,w,f,t,w,w,o,n,a,g,e
x,n,t,e,w,w,o,k,y,p,e
b,y,t,e,w,w,o,k,n,g,e
x,w,t,e,w,w,o,k,s,g,e
x,y,t,e,w,w,o,n,n,g,e
x,w,t,e,w,w,o,k,n,m,e
b,w,t,e,w,w,o,k,s,g,e
f,y,t,e,w,w,o,n,y,p,e
x,n,t,e,w,w,o,n,s,u,p
f,g,f,e,w,w,o,k,y,u,e
b,y,t,e,w,w,o,n,s,g,e
f,n,t,e,w,w,o,n,s,p,e
x,y,t,e,w,w,o,n,s,m,e
x,n,f,e,w,w,o,k,y,u,e
f,y,t,e,w,w,o,n,y,p,e
x,n,t,e,w,w,o,n,y,p,e
x,w,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,k,s,g,p
f,n,t,e,w,w,o,k,y,p,e
f,n,t,e,w,w,o,k,s,g,p
x,w,f,t,w,w,o,k,s,g,e
b,w,t,e,w,w,o,k,s,m,e
s,n,f,e,w,w,o,k,v,u,e
x,y,t,e,w,w,o,n,s,m,e
f,w,t,t,w,w,o,u,v,d,e
x,y,t,e,w,w,o,k,s,m,e
f,g,f,t,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,s,g,p
x,y,t,e,w,w,o,k,s,g,e
f,n,f,t,w,w,o,k,a,g,e
x,w,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,n,s,m,e
f,g,f,e,w,w,o,n,v,u,e
x,y,t,t,w,w,o,u,v,d,e
x,y,t,e,w,w,o,n,n,m,e
f,n,f,e,w,w,o,n,y,u,e
x,g,f,t,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,s,p,e
f,w,t,t,w,w,o,n,v,d,e
x,y,t,e,w,w,o,k,s,g,e
f,y,t,e,w,w,o,k,y,p,e
x,n,t,e,w,w,o,k,v,u,p
x,w,t,t,w,w,o,u,v,d,e
x,w,t,e,w,w,o,k,n,g,e
x,y,t,e,w,w,o,n,n,m,e
b,y,t,e,w,w,o,n,s,g,e
x,y,t,t,w,w,o,u,v,d,e
x,y,t,t,w,w,o,u,v,d,e
x,w,f,t,w,w,o,k,s,g,e
b,w,t,e,w,w,o,n,s,m,e
x,w,t,e,w,w,o,k,v,g,p
x,y,t,e,w,w,o,n,n,g,e
f,g,f,t,w,w,o,k,s,g,e
x,n,t,e,w,w,o,n,s,g,p
b,w,t,e,w,w,o,k,n,m,e
x,w,t,e,w,w,o,k,n,m,e
f,y,t,t,w,w,o,n,v,d,e
x,y,t,e,w,w,o,k,n,g,e
b,w,t,e,w,w,o,k,n,g,e
x,n,t,e,w,w,o,n,y,g,e
x,y,t,e,w,w,o,n,s,g,e
x,n,f,e,w,w,o,n,v,u,e
x,y,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,n,y,g,e
x,n,t,e,w,w,o,n,s,g,p
x,w,t,e,w,w,o,n,n,m,e
x,y,t,e,w,w,o,n,s,m,e
x,w,t,e,w,w,o,k,n,g,e
x,y,t,e,w,w,o,n,y,g,e
f,y,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,s,m,e
s,g,f,e,w,w,o,k,v,u,e
f,n,f,e,w,w,o,k,y,u,e
s,g,f,e,w,w,o,k,v,u,e
x,w,t,e,w,w,o,k,n,m,e
x,w,t,e,w,w,o,k,s,u,p
x,g,f,t,w,w,o,k,s,g,e
x,y,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,n,s,g,p
x,y,t,e,w,w,o,k,n,m,e
x,n,t,e,w,w,o,k,v,u,p
b,y,t,e,w,w,o,k,n,m,e
b,w,t,e,w,w,o,k,s,m,e
x,w,t,e,w,w,o,n,s,g,p
x,n,t,e,w,w,o,k,s,u,p
x,g,f,t,w,w,o,n,a,g,e
x,n,t,e,w,w,o,n,y,g,e
f,w,f,t,w,w,o,n,a,g,e
f,n,t,e,w,w,o,n,s,p,e
b,w,t,e,w,w,o,k,s,m,e
b,w,t,e,w,w,o,k,n,g,e
x,g,f,t,w,w,o,n,s,g,e
f,n,t,e,w,w,o,k,y,g,e
x,w,t,e,w,w,o,k,s,m,e
f,g,f,e,w,w,o,k,v,u,e
f,n,f,t,w,w,o,n,a,g,e
x,g,f,t,w,w,o,n,s,g,e
f,w,f,t,w,w,o,k,a,g,e
x,w,t,e,w,w,o,n,s,u,p
x,y,t,e,w,w,o,k,s,g,e
b,w,t,e,w,w,o,k,s,g,e
f,g,f,t,w,w,o,k,a,g,e
b,w,t,e,w,w,o,k,s,g,e
b,y,t,e,w,w,o,n,n,m,e
s,g,f,e,w,w,o,n,y,u,e
f,y,t,e,w,w,o,k,s,g,e
b,w,t,e,w,w,o,n,n,g,e
x,w,t,t,w,w,o,u,v,d,e
f,y,t,e,w,w,o,k,s,p,e
f,g,f,e,w,w,o,k,y,u,e
x,w,t,e,w,w,o,k,s,m,e
f,y,t,t,w,w,o,u,v,d,e
s,g,f,e,w,w,o,k,y,u,e
b,w,t,e,w,w,o,n,s,g,e
b,w,t,e,w,w,o,k,n,g,e
